sq_mt_built,n_rooms,n_bathrooms,floor,house_type_id,is_renewal_needed,built_year,has_lift,is_exterior,has_parking,raw_address,buy_price,energy_certificate,age
64,3,1,0,HouseType 1: Pisos,1,0,0,1,0,"Calle de Sáhara, 83",80500,en trámite,0
80,3,1,3,HouseType 1: Pisos,0,1974,1,1,0,"Calle la Dolorosa, 10",182000,en trámite,50
120,3,2,2,HouseType 1: Pisos,0,2003,0,1,1,"Calle Antimonio, 7",295000,en trámite,21
82,2,2,6,HouseType 1: Pisos,0,0,1,1,1,"Calle Eduardo Barreiros, 128",270000,no indicado,0
81,3,1,3,HouseType 1: Pisos,0,0,0,1,0,Calle Vicente Carballal,116100,G,0
103,3,2,4,HouseType 1: Pisos,0,0,1,1,1,"Calle María Barrientos, 4",250000,inmueble exento,0
63,3,1,4,HouseType 1: Pisos,0,0,0,1,0,no descrito,79900,en trámite,0
70,3,1,3,HouseType 1: Pisos,0,0,1,1,0,burjasot,99000,en trámite,0
60,3,1,2,HouseType 1: Pisos,1,1960,0,0,0,"Calle de Beniferri, 63",74550,no indicado,64
45,2,1,3,HouseType 1: Pisos,0,1960,0,1,0,no descrito,105000,en trámite,64
95,3,1,2,HouseType 1: Pisos,0,1985,0,1,0,LEONOR GONGORA,130000,no indicado,39
70,3,1,2,HouseType 1: Pisos,1,0,0,1,0,"Calle Santa Florencia, 15",120000,en trámite,0
71,3,1,1,HouseType 1: Pisos,0,1970,1,1,0,Calle Villajoyosa,149000,E,54
70,3,1,3,HouseType 1: Pisos,1,1969,1,1,0,Calle Villajoyosa,135000,E,55
98,4,2,0,HouseType 1: Pisos,0,1977,1,1,0,Calle Ciudadanía,230000,en trámite,47
55,3,1,2,HouseType 1: Pisos,0,0,0,1,0,Calle Arechavaleta,91000,en trámite,0
115,4,1,1,HouseType 1: Pisos,0,0,0,1,0,Calle Platino,184900,en trámite,0
78,3,1,4,HouseType 1: Pisos,0,0,0,0,0,"Calle del Bismuto, 1",127000,E,0
68,3,1,4,HouseType 1: Pisos,0,0,0,1,0,Calle de Rocafort,83900,en trámite,0
120,3,1,2,HouseType 1: Pisos,0,0,0,1,1,"Calle de Gregorio Ortiz, 31",180000,en trámite,0
64,3,1,1,HouseType 1: Pisos,1,0,0,1,0,BENIFERRI,76000,en trámite,0
92,4,1,5,HouseType 1: Pisos,0,0,1,1,0,"Paseo de Gigantes y Cabezudos, 42",163000,en trámite,0
154,3,2,3,HouseType 1: Pisos,0,0,1,1,1,"Calle Limonita, 6",280000,no indicado,0
105,3,2,0,HouseType 1: Pisos,0,0,0,1,0,"Azufre, 3",180000,D,0
70,2,1,0,HouseType 1: Pisos,0,1965,0,1,0,no descrito,128000,en trámite,59
93,3,1,2,HouseType 1: Pisos,0,1972,1,1,0,no descrito,166200,en trámite,52
53,3,1,3,HouseType 1: Pisos,0,0,0,0,0,"Calle del Estroncio, 11",114300,G,0
86,3,1,4,HouseType 1: Pisos,0,1984,1,0,0,no descrito,129000,en trámite,40
75,3,2,1,HouseType 1: Pisos,0,1961,0,1,0,no descrito,132000,en trámite,63
85,3,1,0,HouseType 1: Pisos,0,1969,0,1,0,no descrito,135000,en trámite,55
65,2,1,0,HouseType 1: Pisos,0,1950,0,1,0,no descrito,99000,en trámite,74
53,3,1,3,HouseType 1: Pisos,0,0,0,0,0,"Calle del estroncio, 11",114300,G,0
68,3,1,2,HouseType 1: Pisos,0,0,0,1,0,Calle de Beniferri,88000,en trámite,0
75,3,1,5,HouseType 1: Pisos,0,0,0,0,0,"Calle el Huésped del Sevillano, Madrid",110000,en trámite,0
83,2,1,1,HouseType 1: Pisos,0,2003,1,1,0,"Calle Magnesia, 12 , bis",146000,en trámite,21
95,3,1,0,HouseType 1: Pisos,1,0,0,0,0,"Calle del Talco, 85",112000,en trámite,0
30,1,1,0,HouseType 1: Pisos,0,1960,0,1,0,"Calle de Rocafort, 14 j",59000,E,64
